title,published_at,duration,view_count,like_count,comment_count,year
Aisa bhi pyaar hota hai Kya ??🥺❤️|| Gulshan kalra #shorts,22-03-2022,PT60S,21051367,1967798,1463.00,2022
KỲ ÁN BÁNH MÌ THỊT #Shorts,25-03-2022,PT60S,17828487,613708,1992.00,2022
Kids Alaparaigal😜😂| Grandmother fun 😜😁|100%fun guarantee😂|Naga Sangitha #shorts #funny #fun #comedy,28-03-2022,PT47S,26442034,887581,887.00,2022
चाबी कहाँ है? 😆 Badi Behen Vs Choti Behen Part 4 #Shorts #Shortsbreak #takeabreak,29-03-2022,PT58S,148005467,7545220,4311.00,2022
America 🇺🇸 vs Japan 🇯🇵 vs India 🇮🇳 ~ Why Dog is barking ? #priyalkukreja #shorts #ytshorts,01-04-2022,PT46S,45382463,1372891,2579.00,2022
Baby तुम क्या कर रहे हो? 🤣 #Shorts #Shortsbreak #takeabreak,06-04-2022,PT39S,103421433,4495965,2663.00,2022
कामवाली बाई और विराट कोहली 🏏😂 IPL | Kaamwali Bai Part 16 #Shorts #Shortsbreak,10-04-2022,PT59S,350916014,14438280,12344.00,2022
Superpower Invisibility 🧙‍♀️🔮~ Irritate your Sibling 😂 #priyalkukreja #shorts #ytshorts,19-04-2022,PT51S,33600085,1188818,3696.00,2022
Salute to Indian army🥺❤️|| Gulshan kalra #shorts,20-04-2022,PT60S,45484644,3267214,4745.00,2022
छोटी बेहेन और Model Life 😆 | Badi Behen Vs Choti Behen - Part 6 #Shorts #Shortsbreak,23-04-2022,PT60S,249449211,11507965,10807.00,2022
Affair Gone Wrong 😂🤣 #Shorts #Shortsbreak #takeabreak,26-04-2022,PT58S,74150159,3541388,3497.00,2022
UM DIA COMENDO SÓ COMIDA REDONDA #Shorts,27-04-2022,PT36S,8924457,765389,4183.00,2022
When You Realize You're A Vegan #Shorts,02-05-2022,PT36S,3956330,256201,1474.00,2022
कामवाली बाई और Bachelors 🤣🤣 | Kaamwali Bai - Part 23 #Shorts #Shortsbreak #takeabreak,08-05-2022,PT58S,169294403,8347641,4373.00,2022
Watch till the end 😂🧞‍♂️🔥 #shorts #funny,11-05-2022,PT48S,208214247,9985772,3296.00,2022
"""DON'T SAY GAY"" (EXTENDED VERSION) #shorts",12-05-2022,PT59S,104422574,6385647,28171.00,2022
Tag & share with panipuri lovers 😂❤️ #shorts #funny #panipuri,16-05-2022,PT56S,119373730,8977919,9258.00,2022
#shorts طرقه فحص الذهب 😱,19-05-2022,PT15S,177334990,2376379,6894.00,2022
Our love 💕story promo😍🥰 ❤️| withLove Nagaraj Sangeetha #shorts #love #tamil #family #fun #family,20-05-2022,PT60S,43434247,1646155,32586.00,2022
Cute Tooktook choose chips 🍟 lollipop 🍭 cold drink 🥤put  #shorts,22-05-2022,PT14S,53865552,649450,316.00,2022
घर में फोटोशूट 🤣 | Kaamwali Bai - Part 25 #Shorts #Shortsbreak #takeabreak,29-05-2022,PT60S,214573111,9746125,7213.00,2022
छोटी बेहेन और Boarding School 🤣🤣 | Badi Behen Vs. Choti Behen - Part 7 #Shorts #Shortsbreak,31-05-2022,PT60S,103147129,6322098,3098.00,2022
“Hai respirato? Allora il bagno tra 12 giorni” 🥲 #danycabras #danythegaggio #short #shorts,16-06-2022,PT60S,8418885,400653,1857.00,2022
Ăn vặt tuổi thơ P1558 #shorts,17-06-2022,PT39S,299412054,3916193,1504.00,2022
Clip #shorts triệu view tik tok Trung ❤️ 2k3 TV,22-06-2022,PT11S,111014325,1091079,1565.00,2022
seeing wife face for first time #shorts,02-07-2022,PT60S,62480512,1004181,25352.00,2022
Emotional story😭💔( video pasand aaye toh ek like zaroor karna ) #shorts,05-07-2022,PT60S,38158581,2222436,2978.00,2022
Emotional story😭💔( video pasand aaye toh ek like zaroor karna ) #shorts,05-07-2022,PT60S,38158581,2222436,2978.00,2022
BIP HOUSE / БИП ХАУС #SHORTS,09-07-2022,PT50S,122639094,4832074,5406.00,2022
Adorable Boy Eating Big Size Fuchka#shorts#streetfood,09-07-2022,PT59S,15023228,565621,2635.00,2022
Tom and Jerry (Anu&Rithvi) End twist 😂 Part 39 #shorts,10-07-2022,PT60S,67061764,2140484,0.00,2022
Dress का चक्कर! 🤣 | Badi Behen Vs. Choti Behen - Part 11 #Shorts #Shortsbreak #takeabreak,12-07-2022,PT53S,111629213,5847298,3329.00,2022
Sabías que? El Grinch #shorts   #peliculas,14-07-2022,PT31S,4464540,194158,233.00,2022
मुझे भी आना है 🤣 | Badi Behen Vs. Choti Behen - Part 12 #Shorts #Shortsbreak #takeabreak,19-07-2022,PT57S,115580885,5608341,3158.00,2022
Galatasaray 3 - 2 Real Madrid Maçı #shorts #keşfet,19-07-2022,PT58S,5816367,169473,3748.00,2022
EM LÀ EM ANH HUY #Shorts,19-07-2022,PT60S,20650896,620679,1155.00,2022
Language problem 😝| #shorts #naveenricky,20-07-2022,PT60S,12582583,679252,601.00,2022
Language problem 😝| #shorts #naveenricky,20-07-2022,PT60S,12582583,679252,601.00,2022
Bản #shorts - bữa cơm 52 triệu đắt nhất Việt Nam,31-07-2022,PT52S,26319111,574157,9920.00,2022
Teacher's Daughter Alaparaigal 🤣 | Share with your Friends 😂 #shorts #jennimj #ytshorts,04-08-2022,PT56S,11068899,636270,1522.00,2022
Food Vloggers in America🇺🇸 vs India 🇮🇳😂 @ChahatAnand #shorts #ytshorts #priyalkukreja,06-08-2022,PT43S,46009680,0,5740.00,2022
KẺ LẬP DỊ #Shorts,08-08-2022,PT60S,9127901,275904,1455.00,2022
LES MUESTRO MIS ÚTILES PARA LA ESCUELA! 💖 #shorts,09-08-2022,PT55S,19004013,1046527,4020.00,2022
Sisters और Gifts 😁 | Badi Behen Vs. Choti Behen - Part 14 #Shorts #Shortsbreak #takeabreak,13-08-2022,PT56S,136026559,8139062,9630.00,2022
Coolest Gadgets Satisfying #shorts #satisfying #satisfyingvideo #gadgets #gadgetsforeveryhome,16-08-2022,PT14S,121381595,0,3438.00,2022
LA ESTAFA QUE HACEN LAS JOYERÍAS CON EL ORO #shorts,16-08-2022,PT36S,41961303,1647894,16790.00,2022
Couple Eating Emojis Challenge | #asmr #food #shorts,18-08-2022,PT54S,122459514,3275068,6128.00,2022
Maa hoti he maa🥺❤️ || A Hearttouching video || #shorts #emotional #hearttouchingstory,19-08-2022,PT60S,9725237,564122,836.00,2022
Hard Landing Boeing 747 at Gibraltar Airport #shorts,19-08-2022,PT60S,4762588,91351,1280.00,2022
Dar sabko lagta hai hain?🤣 #shorts #ytshorts #relatable #haircolour #funny #maimohini,21-08-2022,PT60S,102906089,4586085,2533.00,2022
Grocery shopping with the kids!,21-08-2022,PT60S,57496825,1426027,5116.00,2022
CAUÊ TÁ NAMORANDO A VIZINHA ? #shorts #kwai,23-08-2022,PT59S,15994474,1263134,1985.00,2022
If Words are the new Currency 🤑 Part-3 #funnyshorts #ytshorts #shorts,26-08-2022,PT60S,28133011,1921027,1576.00,2022
